product_name_en	product_name_da	product_name_de	product_name_fr	product_name_it	product_name_nl	product_name_pl	product_name_fi	product_name_es	product_name_sv	product_url_en	product_url_da	product_url_de	product_url_fr	product_url_it	product_url_nl	product_url_pl	product_url_fi	product_url_es	product_url_sv	style_en	style_da	style_de	style_fr	style_it	style_nl	style_pl	style_fi	style_es	style_sv	category	environment_image_1	environment_image_2	environment_image_3
Canvas print - Fishes In Geometrics Nº4	Lærred - Fishes In Geometrics Nº4	Leinwandbild - Fishes In Geometrics Nº4	Toile - Fishes In Geometrics Nº4	Stampe su tela - Fishes In Geometrics Nº4	Canvas schilderi - Fishes In Geometrics Nº4	Obraz na płótnie - Fishes In Geometrics Nº4	Canvas taulu - Fishes In Geometrics Nº4	Lienzo - Fishes In Geometrics Nº4	Canvastavla Fishes In Geometrics Nº4 - Tavla	https://wamaya.com/product/canvas-print-fishes-in-geometrics-no4/	https://wamaya.dk/product/laerred-fishes-in-geometrics-no4/	https://wamaya.de/product/leinwandbild-fishes-in-geometrics-no4/	https://wamaya.fr/product/toile-fishes-in-geometrics-no4/	https://wamaya.it/product/stampe-su-tela-fishes-in-geometrics-no4/	https://wamaya.nl/product/canvas-schilderi-fishes-in-geometrics-no4/	https://wamaya.pl/product/obraz-na-plotnie-fishes-in-geometrics-no4/	https://wamaya.fi/product/canvas-taulu-fishes-in-geometrics-no4/	https://wamaya.es/product/lienzo-fishes-in-geometrics-no4/	https://wamaya.se/product/canvastavla-fishes-in-geometrics-no4-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Fiskar	https://pictufy.com/api/interiors.php?p=2489662&i=1079	https://pictufy.com/api/interiors.php?p=2489662&i=94	
Canvas print - Palm Beige and Green	Lærred - Palm Beige and Green	Leinwandbild - Palm Beige and Green	Toile - Palm Beige and Green	Stampe su tela - Palm Beige and Green	Canvas schilderi - Palm Beige and Green	Obraz na płótnie - Palm Beige and Green	Canvas taulu - Palm Beige and Green	Lienzo - Palm Beige and Green	Canvastavla Palm Beige and Green - Tavla	https://wamaya.com/product/canvas-print-palm-beige-and-green/	https://wamaya.dk/product/laerred-palm-beige-and-green/	https://wamaya.de/product/leinwandbild-palm-beige-and-green/	https://wamaya.fr/product/toile-palm-beige-and-green/	https://wamaya.it/product/stampe-su-tela-palm-beige-and-green/	https://wamaya.nl/product/canvas-schilderi-palm-beige-and-green/	https://wamaya.pl/product/obraz-na-plotnie-palm-beige-and-green/	https://wamaya.fi/product/canvas-taulu-palm-beige-and-green/	https://wamaya.es/product/lienzo-palm-beige-and-green/	https://wamaya.se/product/canvastavla-palm-beige-and-green-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Naturmotiv	https://pictufy.com/api/interiors.php?p=2456428&i=1079	https://pictufy.com/api/interiors.php?p=2456428&i=94	
Canvas print - Abstract Blue Shapes No2 Print	Lærred - Abstract Blue Shapes No2 Print	Leinwandbild - Abstract Blue Shapes No2 Print	Toile - Abstract Blue Shapes No2 Print	Stampe su tela - Abstract Blue Shapes No2 Print	Canvas schilderi - Abstract Blue Shapes No2 Print	Obraz na płótnie - Abstract Blue Shapes No2 Print	Canvas taulu - Abstract Blue Shapes No2 Print	Lienzo - Abstract Blue Shapes No2 Print	Canvastavla Abstract Blue Shapes No2 Print - Tavla	https://wamaya.com/product/canvas-print-abstract-blue-shapes-no2-print/	https://wamaya.dk/product/laerred-abstract-blue-shapes-no2-print/	https://wamaya.de/product/leinwandbild-abstract-blue-shapes-no2-print/	https://wamaya.fr/product/toile-abstract-blue-shapes-no2-print/	https://wamaya.it/product/stampe-su-tela-abstract-blue-shapes-no2-print/	https://wamaya.nl/product/canvas-schilderi-abstract-blue-shapes-no2-print/	https://wamaya.pl/product/obraz-na-plotnie-abstract-blue-shapes-no2-print/	https://wamaya.fi/product/canvas-taulu-abstract-blue-shapes-no2-print/	https://wamaya.es/product/lienzo-abstract-blue-shapes-no2-print/	https://wamaya.se/product/canvastavla-abstract-blue-shapes-no2-print-tavla/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Abstrakt	https://pictufy.com/api/interiors.php?p=2960932&i=1079	https://pictufy.com/api/interiors.php?p=2960932&i=94	
Canvas print - Peony 1	Lærred - Peony 1	Leinwandbild - Peony 1	Toile - Peony 1	Stampe su tela - Peony 1	Canvas schilderi - Peony 1	Obraz na płótnie - Peony 1	Canvas taulu - Peony 1	Lienzo - Peony 1	Canvastavla Peony 1 - Tavla	https://wamaya.com/product/canvas-print-peony-1/	https://wamaya.dk/product/laerred-peony-1/	https://wamaya.de/product/leinwandbild-peony-1/	https://wamaya.fr/product/toile-peony-1/	https://wamaya.it/product/stampe-su-tela-peony-1/	https://wamaya.nl/product/canvas-schilderi-peony-1/	https://wamaya.pl/product/obraz-na-plotnie-peony-1/	https://wamaya.fi/product/canvas-taulu-peony-1/	https://wamaya.es/product/lienzo-peony-1/	https://wamaya.se/product/canvastavla-peony-1-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Blommor	https://pictufy.com/api/interiors.php?p=2558819&i=1079	https://pictufy.com/api/interiors.php?p=2558819&i=94	
Canvas print - Awakening I	Lærred - Awakening I	Leinwandbild - Awakening I	Toile - Awakening I	Stampe su tela - Awakening I	Canvas schilderi - Awakening I	Obraz na płótnie - Awakening I	Canvas taulu - Awakening I	Lienzo - Awakening I	Canvastavla Awakening I - Tavla	https://wamaya.com/product/canvas-print-awakening-i/	https://wamaya.dk/product/laerred-awakening-i/	https://wamaya.de/product/leinwandbild-awakening-i/	https://wamaya.fr/product/toile-awakening-i/	https://wamaya.it/product/stampe-su-tela-awakening-i/	https://wamaya.nl/product/canvas-schilderi-awakening-i/	https://wamaya.pl/product/obraz-na-plotnie-awakening-i/	https://wamaya.fi/product/canvas-taulu-awakening-i/	https://wamaya.es/product/lienzo-awakening-i/	https://wamaya.se/product/canvastavla-awakening-i-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Människor	https://pictufy.com/api/interiors.php?p=2758148&i=1079	https://pictufy.com/api/interiors.php?p=2758148&i=94	
Canvas print - Awakening II	Lærred - Awakening II	Leinwandbild - Awakening II	Toile - Awakening II	Stampe su tela - Awakening II	Canvas schilderi - Awakening II	Obraz na płótnie - Awakening II	Canvas taulu - Awakening II	Lienzo - Awakening II	Canvastavla Awakening II - Tavla	https://wamaya.com/product/canvas-print-awakening-ii/	https://wamaya.dk/product/laerred-awakening-ii/	https://wamaya.de/product/leinwandbild-awakening-ii/	https://wamaya.fr/product/toile-awakening-ii/	https://wamaya.it/product/stampe-su-tela-awakening-ii/	https://wamaya.nl/product/canvas-schilderi-awakening-ii/	https://wamaya.pl/product/obraz-na-plotnie-awakening-ii/	https://wamaya.fi/product/canvas-taulu-awakening-ii/	https://wamaya.es/product/lienzo-awakening-ii/	https://wamaya.se/product/canvastavla-awakening-ii-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Stående tavlor	https://pictufy.com/api/interiors.php?p=2761694&i=1079	https://pictufy.com/api/interiors.php?p=2761694&i=94	
Canvas print - All you need is love	Lærred - All you need is love	Leinwandbild - All you need is love	Toile - All you need is love	Stampe su tela - All you need is love	Canvas schilderi - All you need is love	Obraz na płótnie - All you need is love	Canvas taulu - All you need is love	Lienzo - All you need is love	Canvastavla All you need is love - Tavla	https://wamaya.com/product/canvas-print-all-you-need-is-love-2/	https://wamaya.dk/product/laerred-all-you-need-is-love-2/	https://wamaya.de/product/leinwandbild-all-you-need-is-love-2/	https://wamaya.fr/product/toile-all-you-need-is-love-2/	https://wamaya.it/product/stampe-su-tela-all-you-need-is-love-2/	https://wamaya.nl/product/canvas-schilderi-all-you-need-is-love-2/	https://wamaya.pl/product/obraz-na-plotnie-all-you-need-is-love-2/	https://wamaya.fi/product/canvas-taulu-all-you-need-is-love-2/	https://wamaya.es/product/lienzo-all-you-need-is-love-2/	https://wamaya.se/product/canvastavla-all-you-need-is-love-tavla-2/	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Street Art	Djur	https://pictufy.com/api/interiors.php?p=2431295&i=1079	https://pictufy.com/api/interiors.php?p=2431295&i=94	
Canvas print - DOVES Green	Lærred - DOVES Green	Leinwandbild - DOVES Green	Toile - DOVES Green	Stampe su tela - DOVES Green	Canvas schilderi - DOVES Green	Obraz na płótnie - DOVES Green	Canvas taulu - DOVES Green	Lienzo - DOVES Green	Canvastavla DOVES Green - Tavla	https://wamaya.com/product/canvas-print-doves-green/	https://wamaya.dk/product/laerred-doves-green/	https://wamaya.de/product/leinwandbild-doves-green/	https://wamaya.fr/product/toile-doves-green/	https://wamaya.it/product/stampe-su-tela-doves-green/	https://wamaya.nl/product/canvas-schilderi-doves-green/	https://wamaya.pl/product/obraz-na-plotnie-doves-green/	https://wamaya.fi/product/canvas-taulu-doves-green/	https://wamaya.es/product/lienzo-doves-green/	https://wamaya.se/product/canvastavla-doves-green-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Fåglar	https://pictufy.com/api/interiors.php?p=2456173&i=1079	https://pictufy.com/api/interiors.php?p=2456173&i=94	
Canvas print - The Big Jump	Lærred - The Big Jump	Leinwandbild - The Big Jump	Toile - The Big Jump	Stampe su tela - The Big Jump	Canvas schilderi - The Big Jump	Obraz na płótnie - The Big Jump	Canvas taulu - The Big Jump	Lienzo - The Big Jump	Canvastavla The Big Jump - Tavla	https://wamaya.com/product/canvas-print-the-big-jump/	https://wamaya.dk/product/laerred-the-big-jump/	https://wamaya.de/product/leinwandbild-the-big-jump/	https://wamaya.fr/product/toile-the-big-jump/	https://wamaya.it/product/stampe-su-tela-the-big-jump/	https://wamaya.nl/product/canvas-schilderi-the-big-jump/	https://wamaya.pl/product/obraz-na-plotnie-the-big-jump/	https://wamaya.fi/product/canvas-taulu-the-big-jump/	https://wamaya.es/product/lienzo-the-big-jump/	https://wamaya.se/product/canvastavla-the-big-jump-tavla/	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Vintage	Fantasy	https://pictufy.com/api/interiors.php?p=2493038&i=1079	https://pictufy.com/api/interiors.php?p=2493038&i=94	
Canvas print - California	Lærred - California	Leinwandbild - California	Toile - California	Stampe su tela - California	Canvas schilderi - California	Obraz na płótnie - California	Canvas taulu - California	Lienzo - California	Canvastavla California - Tavla	https://wamaya.com/product/canvas-print-california/	https://wamaya.dk/product/laerred-california/	https://wamaya.de/product/leinwandbild-california/	https://wamaya.fr/product/toile-california/	https://wamaya.it/product/stampe-su-tela-california/	https://wamaya.nl/product/canvas-schilderi-california/	https://wamaya.pl/product/obraz-na-plotnie-california/	https://wamaya.fi/product/canvas-taulu-california/	https://wamaya.es/product/lienzo-california/	https://wamaya.se/product/canvastavla-california-tavla/	Bohemian	Bohemisk	Bohemian	Bohème	Bohemian	Bohemian	Bohemian	Boheemi	Bohemio	Bohemisk	Bohemiska tavlor	https://pictufy.com/api/interiors.php?p=2539637&i=1079	https://pictufy.com/api/interiors.php?p=2539637&i=94	
Canvas print - Sun rays	Lærred - Sun rays	Leinwandbild - Sun rays	Toile - Sun rays	Stampe su tela - Sun rays	Canvas schilderi - Sun rays	Obraz na płótnie - Sun rays	Canvas taulu - Sun rays	Lienzo - Sun rays	Canvastavla Sun rays - Tavla	https://wamaya.com/product/canvas-print-sun-rays-2/	https://wamaya.dk/product/laerred-sun-rays-2/	https://wamaya.de/product/leinwandbild-sun-rays-2/	https://wamaya.fr/product/toile-sun-rays-2/	https://wamaya.it/product/stampe-su-tela-sun-rays-2/	https://wamaya.nl/product/canvas-schilderi-sun-rays-2/	https://wamaya.pl/product/obraz-na-plotnie-sun-rays-2/	https://wamaya.fi/product/canvas-taulu-sun-rays-2/	https://wamaya.es/product/lienzo-sun-rays-2/	https://wamaya.se/product/canvastavla-sun-rays-tavla-2/	Abstract	Abstrakt	Abstrakt	Abstrait	Abstract	Abstract	Abstract	Abstrakti	Abstracto	Abstrakt	Abstrakt	https://pictufy.com/api/interiors.php?p=2955345&i=1079	https://pictufy.com/api/interiors.php?p=2955345&i=94	
Canvas print - Peony 3	Lærred - Peony 3	Leinwandbild - Peony 3	Toile - Peony 3	Stampe su tela - Peony 3	Canvas schilderi - Peony 3	Obraz na płótnie - Peony 3	Canvas taulu - Peony 3	Lienzo - Peony 3	Canvastavla Peony 3 - Tavla	https://wamaya.com/product/canvas-print-peony-3/	https://wamaya.dk/product/laerred-peony-3/	https://wamaya.de/product/leinwandbild-peony-3/	https://wamaya.fr/product/toile-peony-3/	https://wamaya.it/product/stampe-su-tela-peony-3/	https://wamaya.nl/product/canvas-schilderi-peony-3/	https://wamaya.pl/product/obraz-na-plotnie-peony-3/	https://wamaya.fi/product/canvas-taulu-peony-3/	https://wamaya.es/product/lienzo-peony-3/	https://wamaya.se/product/canvastavla-peony-3-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Blommor	https://pictufy.com/api/interiors.php?p=2558821&i=1079	https://pictufy.com/api/interiors.php?p=2558821&i=94	
Canvas print - CRSTL	Lærred - CRSTL	Leinwandbild - CRSTL	Toile - CRSTL	Stampe su tela - CRSTL	Canvas schilderi - CRSTL	Obraz na płótnie - CRSTL	Canvas taulu - CRSTL	Lienzo - CRSTL	Canvastavla CRSTL - Tavla	https://wamaya.com/product/canvas-print-crstl/	https://wamaya.dk/product/laerred-crstl/	https://wamaya.de/product/leinwandbild-crstl/	https://wamaya.fr/product/toile-crstl/	https://wamaya.it/product/stampe-su-tela-crstl/	https://wamaya.nl/product/canvas-schilderi-crstl/	https://wamaya.pl/product/obraz-na-plotnie-crstl/	https://wamaya.fi/product/canvas-taulu-crstl/	https://wamaya.es/product/lienzo-crstl/	https://wamaya.se/product/canvastavla-crstl-tavla/	Minimalist	Minimalistisk	Minimalistisch	Minimaliste	Minimalist	Minimalist	Minimalist	Minimalistinen	Minimalista	Minimalistisk	Astronomi	https://pictufy.com/api/interiors.php?p=2543295&i=1079	https://pictufy.com/api/interiors.php?p=2543295&i=94	
Canvas print - Saturn Highway	Lærred - Saturn Highway	Leinwandbild - Saturn Highway	Toile - Saturn Highway	Stampe su tela - Saturn Highway	Canvas schilderi - Saturn Highway	Obraz na płótnie - Saturn Highway	Canvas taulu - Saturn Highway	Lienzo - Saturn Highway	Canvastavla Saturn Highway - Tavla	https://wamaya.com/product/canvas-print-saturn-highway/	https://wamaya.dk/product/laerred-saturn-highway/	https://wamaya.de/product/leinwandbild-saturn-highway/	https://wamaya.fr/product/toile-saturn-highway/	https://wamaya.it/product/stampe-su-tela-saturn-highway/	https://wamaya.nl/product/canvas-schilderi-saturn-highway/	https://wamaya.pl/product/obraz-na-plotnie-saturn-highway/	https://wamaya.fi/product/canvas-taulu-saturn-highway/	https://wamaya.es/product/lienzo-saturn-highway/	https://wamaya.se/product/canvastavla-saturn-highway-tavla/	Modern	Moderne	Modern	Moderne	Modern	Modern	Modern	Moderni	Moderno	Modern	Fantasy	https://pictufy.com/api/interiors.php?p=2493059&i=1079	https://pictufy.com/api/interiors.php?p=2493059&i=94	
